path,usage_count,sample_files
pages.marketingIntel.marketingIntel.aiPredict.banner.conditionPurchased,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.conditionLtvGt,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.conditionKakaoClicked,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.conditionLineClicked,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.abGroupA,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.abGroupB,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.deleteNode,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.backToList,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.saving,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.save,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.Simulation,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.execLog,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.recentTriggers,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.clickToEdit,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.emailSendSim,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.kakaoSendSim,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.lineSendSim,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.achieved,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.brandAwareness,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.brandAwarenessDesc,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.webTraffic,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.webTrafficDesc,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.inquiriesPurchases,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.inquiriesPurchasesDesc,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.bizGoalSetting,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.selected,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.clickSelect,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.selectedGoals,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.pleaseSelectGoal,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.chSearchAds,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.roleCaptureIntent,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.ctr,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.cpc,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.convRate,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.cpa,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.roas,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.descCaptureIntent,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.chSnsAds,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.roleBrandReach,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.reach,0,
