key,l3_namespace,value,locale_count,locales
crm.contentCal.adReady,crm.contentCal.adReady,Ad Ready,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.checkRights,crm.contentCal.checkRights,Check Rights,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.engagement,crm.contentCal.engagement,Engagement,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.adCreative,crm.contentCal.adCreative,Ad Creative,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.productPage,crm.contentCal.productPage,Product Page,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.positive,crm.contentCal.positive,Positive,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.neutral,crm.contentCal.neutral,Neutral,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.negative,crm.contentCal.negative,Negative,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.helpful,crm.contentCal.helpful,Helpful,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.guideIdentName,crm.contentCal.guideIdentName,Creator Unified,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.uideContractName,crm.contentCal.uideContractName,Contracts,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.uideSettleName,crm.contentCal.uideSettleName,Settlement,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.uideRoiName,crm.contentCal.uideRoiName,ROI Ranking,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.uideUgcName,crm.contentCal.uideUgcName,UGC Reviews,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.uideAiName,crm.contentCal.uideAiName,AI Evaluation,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.kpiAllReviews,crm.contentCal.kpiAllReviews,Total Reviews,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.kpiAvgRating,crm.contentCal.kpiAvgRating,Avg Rating,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.kpiNegReviews,crm.contentCal.kpiNegReviews,Negative Reviews,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.kpiPosRate,crm.contentCal.kpiPosRate,Positive Rate,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.kpiAllReviewsSub,crm.contentCal.kpiAllReviewsSub,All channels combined,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.kpiAvgRatingSub,crm.contentCal.kpiAvgRatingSub,Weighted average,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.kpiNegReviewsSub,crm.contentCal.kpiNegReviewsSub,Immediate response needed,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
